City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
85,tuktoyaktuk,69.4541,-133.0374,14.0,67,100,12.66,CA,1667929609
86,campbell river,50.0163,-125.2446,31.53,64,40,5.75,CA,1667929612
87,nioro,13.35,-15.75,85.1,31,100,5.59,GM,1667929614
88,pangnirtung,66.1451,-65.7125,12.2,62,75,3.44,CA,1667929617
89,marsh harbour,26.5412,-77.0636,75.76,84,96,32.01,BS,1667929619
90,port-cartier,50.0334,-66.8654,43.02,54,64,21.65,CA,1667929365
91,buala,-8.145,159.5921,78.93,81,100,4.07,SB,1667929423
92,paracuru,-3.41,-39.0306,81.1,53,93,13.13,BR,1667929628
93,manubul,5.4732,120.7986,82.58,72,100,3.49,PH,1667929633
94,belmonte,-15.8631,-38.8828,78.48,62,96,11.25,BR,1667929636
95,chokurdakh,70.6333,147.9167,-7.92,100,96,8.99,RU,1667929638
96,hailey,43.5196,-114.3153,33.89,75,100,9.22,US,1667929640
97,longyearbyen,78.2186,15.6401,22.84,74,75,9.22,SJ,1667929643
98,eirunepe,-6.6603,-69.8736,100.36,25,18,1.54,BR,1667929645
99,faanui,-16.4833,-151.75,78.06,74,86,11.88,PF,1667929648
100,saint george,37.1041,-113.5841,64.26,44,75,10.36,US,1667929401
101,san quintin,30.4833,-115.95,66.74,71,6,4.94,MX,1667929655
102,alofi,-19.0595,-169.9187,71.49,94,64,5.75,NU,1667929657
103,east london,-33.0153,27.9116,65.34,94,75,2.3,ZA,1667929544
104,klaksvik,62.2266,-6.589,47.32,91,100,15.26,FO,1667929662
105,dongying,37.4564,118.4856,55.24,61,100,4.29,CN,1667929665
106,narasapur,16.45,81.6667,73.62,78,23,5.53,IN,1667929667
107,solnechnyy,50.7214,136.6319,24.82,66,8,5.23,RU,1667929670
108,narsaq,60.9167,-46.05,30.42,66,26,8.01,GL,1667929672
109,maceio,-9.6658,-35.7353,87.24,58,40,12.66,BR,1667929675
110,xichang,27.8964,102.2634,52.25,85,0,1.03,CN,1667929677
111,derzhavinsk,51.1,66.3167,28.47,96,100,12.46,KZ,1667929506
112,warmbad,-28.45,18.7333,72.14,36,54,21.85,NA,1667929682
113,lorengau,-2.0226,147.2712,80.56,80,100,5.32,PG,1667929685
114,bengkulu,-3.8004,102.2655,76.08,91,100,4.12,ID,1667929687
115,nome,64.5011,-165.4064,37.47,76,100,23.02,US,1667929689
116,khasan,42.4308,130.6434,43.45,67,21,4.27,RU,1667929692
117,nadym,65.5333,72.5167,16.54,97,97,8.9,RU,1667929694
118,iqaluit,63.7506,-68.5145,15.53,72,75,3.44,CA,1667929697
119,zhoucheng,35.9122,116.3117,53.73,74,100,6.15,CN,1667929699
120,makarov,48.6333,142.8,33.49,77,13,4.61,RU,1667929702
121,cabo san lucas,22.8909,-109.9124,81.61,57,0,6.91,MX,1667929579
122,cabra,37.4725,-4.4421,60.69,56,100,1.14,ES,1667929707
123,yulara,-25.2406,130.9889,72.84,52,34,5.46,AU,1667929709
124,cayenne,4.9333,-52.3333,87.84,66,91,3.44,GF,1667929712
125,galveston,29.3669,-94.9669,85.17,80,40,13.8,US,1667929714
126,ponta do sol,32.6667,-17.1,75.0,80,92,6.98,PT,1667929716
127,kashary,49.04,41.0056,36.25,83,44,5.61,RU,1667929719
128,labuhan,-6.8844,112.2051,79.63,80,72,4.83,ID,1667929721
129,nikolskoye,59.7035,30.7861,46.29,90,100,9.89,RU,1667929724
130,barmer,25.75,71.3833,75.79,26,0,6.55,IN,1667929726
